mun_n,bairro_n,n_cases
SAO PAULO,ITAIM PAULISTA,705
SAO PAULO,BRASILANDIA,667
SAO PAULO,JABAQUARA,606
SAO PAULO,JARDIM HELENA,503
SAO PAULO,VILA CURUCA,493
SAO PAULO,CIDADE ADEMAR,455
SAO PAULO,LAJEADO,447
SAO PAULO,SAO PAULO,402
SAO PAULO,JARAGUA,401
SAO PAULO,CIDADE TIRADENTES,390
SAO PAULO,GUAIANAZES,381
SAO PAULO,PARAISOPOLIS,323
SAO PAULO,SANTA CECILIA,316
SAO PAULO,BELEM,299
SAO PAULO,CANGAIBA,297
SAO PAULO,VILA JACUI,277
SAO PAULO,JARDIM ANGELA,267
SAO PAULO,PENHA,263
SAO PAULO,SAO MIGUEL,261
SAO PAULO,VILA SONIA,255
SAO PAULO,PIRITUBA,254
SAO PAULO,LAGEADO,252
SAO PAULO,VILA MARIA,248
SAO PAULO,HELIOPOLIS,234
SAO PAULO,BELA VISTA,232
GUARULHOS,GUARULHOS,222
SAO PAULO,MOOCA,222
SAO PAULO,RIO PEQUENO,220
SAO PAULO,IGUATEMI,209
SAO PAULO,BOM RETIRO,206
SAO PAULO,BRAS,181
SAO PAULO,PARQUE DO CARMO,179
MAUA,JARDIM ZAIRA,179
SAO PAULO,ITAQUERA,177
SAO PAULO,CENTRO,171
SAO PAULO,SANTANA,167
CARAPICUIBA,CIDADE ARISTON ESTELA AZEVEDO,166
SAO PAULO,CIDADE LIDER,165
SAO PAULO,CIDADE ANTONIO ESTEVAO DE CARVALHO,157
SAO PAULO,VILA MATILDE,157
SAO PAULO,JOSE BONIFACIO,152
SAO BERNARDO DO CAMPO,MONTANHAO,151
SAO PAULO,VILA MEDEIROS,151
SAO PAULO,SAO DOMINGOS,150
SAO PAULO,FREGUESIA DO O,149
SAO PAULO,VILA ANDRADE,141
MOGI DAS CRUZES,JUNDIAPEBA,137
SAO PAULO,CARRAO,133
SAO PAULO,IPIRANGA,132
SAO PAULO,TATUAPE,128
SAO PAULO,SAUDE,127
SAO PAULO,ITAIM BIBI,122
SAO PAULO,MANDAQUI,120
SAO PAULO,SAO RAFAEL,120
SAO PAULO,CURSINO,118
DIADEMA,ELDORADO,116
GUARULHOS,JARDIM CUMBICA,116
SAO PAULO,CIDADE JULIA,115
SAO PAULO,JARDIM SAO LUIS,113
SAO PAULO,PARQUE NOVO MUNDO,112
DIADEMA,TABOAO,110
SAO PAULO,VILA MARIANA,109
FRANCO DA ROCHA,FRANCO DA ROCHA,108
OSASCO,PADROEIRA,108
SAO PAULO,JACANA,107
DIADEMA,CASA GRANDE,107
SAO PAULO,JARDIM BRASIL,107
SAO PAULO,JARDIM DA CONQUISTA,106
SAO PAULO,SAPOPEMBA,105
SAO PAULO,CAMBUCI,102
SAO PAULO,PARI,100
GUARULHOS,JARDIM PRESIDENTE DUTRA,100
SAO PAULO,PEDREIRA,99
SAO PAULO,FAZENDA DA JUTA,98
SAO PAULO,PARQUE SANTA MADALENA,96
GUARULHOS,SAO JOAO,96
SAO PAULO,PARQUE EDU CHAVES,96
SAO PAULO,LIBERDADE,96
SAO PAULO,GRAJAU,94
OSASCO,JARDIM MUNHOZ JUNIOR,93
SAO PAULO,CAMPO GRANDE,93
SAO PAULO,PERUS,92
SAO PAULO,CACHOEIRINHA,92
SAO BERNARDO DO CAMPO,BAETA NEVES,90
SAO PAULO,PINHEIROS,88
DIADEMA,CENTRO,85
DIADEMA,SERRARIA,84
OSASCO,CONCEICAO,83
SAO PAULO,VILA PRUDENTE,83
SAO PAULO,VILA GUILHERME,82
DIADEMA,CANHEMA,81
SAO PAULO,SANTA EFIGENIA,78
SAO PAULO,TREMEMBE,78
MAUA,JARDIM ORATORIO,77
SAO PAULO,IMIRIM,77
SAO PAULO,PQ VILA MARIA,77
ITAPECERICA DA SERRA,PARQUE PARAISO,76
CARAPICUIBA,JARDIM ANA ESTELA,75
SAO PAULO,BUTANTA,75
GUARULHOS,MORROS,74
SAO BERNARDO DO CAMPO,FERRAZOPOLIS,74
SAO PAULO,CASA VERDE ALTA,73
GUARULHOS,TABOAO,73
SAO PAULO,PARQUE SAO RAFAEL,72
SAO BERNARDO DO CAMPO,DOS CASA,72
SAO PAULO,AMERICANOPOLIS,71
SAO PAULO,JARDIM SAPOPEMBA,70
TABOAO DA SERRA,JARDIM RECORD,70
SAO PAULO,JAGUARE,70
SAO PAULO,JD PERY ALTO,69
SAO PAULO,PARQUE BOTURUSSU,68
SAO PAULO,RECANTO DOS HUMILDES,68
SAO PAULO,CAMPO BELO,67
DIADEMA,CAMPANARIO,67
SAO PAULO,JARDIM MATARAZZO,67
SAO PAULO,JARDIM APURA,66
OSASCO,BANDEIRAS,66
GUARULHOS,PIMENTAS,65
SAO PAULO,MOEMA,65
GUARULHOS,BONSUCESSO,65
DIADEMA,CONCEICAO,63
GUARULHOS,BANANAL,63
SAO PAULO,JARDIM SAO BENTO NOVO,63
SAO PAULO,VILA DO SOL,63
BARUERI,PARQUE IMPERIAL,62
