NM_MUN,NM_FCU,n_setores,pop,casos,taxa
Cubatão,Vila Esperança,30,16949,115.0,135.7012213109918
Guarujá,Complexo Prainha,16,7638,100.0,261.8486514794449
São Vicente,CDHU,10,6661,97.0,291.24756042636244
São Vicente,Saquaré,12,5772,77.0,266.8052668052668
São Vicente,Canal do Meio,8,4788,73.0,304.92898913951547
Santos,Dique Vila Gilda,19,7275,73.0,200.68728522336772
Guarujá,Sítio Conceiçãozinha,9,4755,71.0,298.6330178759201
Cubatão,Vila dos Pescadores,17,9750,66.0,135.3846153846154
São Vicente,Quarentenário Público,16,9225,64.0,138.75338753387533
Santos,Vila Alemoa,6,2264,61.0,538.86925795053
São Vicente,Jardim Rio Negro,7,4744,54.0,227.65598650927487
São Vicente,Jardim Rio Branco,12,8278,43.0,103.88982846098091
Guarujá,Perequê,11,7324,43.0,117.42217367558712
Guarujá,Cachoeira Plano,9,5644,42.0,148.830616583983
São Vicente,Rio da Avó,10,4797,40.0,166.77089847821554
Guarujá,Mar e Céu,9,4800,37.0,154.16666666666666
Guarujá,Santa Cruz dos Navegantes,9,4651,37.0,159.10556869490432
Santos,São Bento,5,3183,37.0,232.48507697141062
Praia Grande,Vila Caieiras,10,6601,36.0,109.07438266929255
Guarujá,Mangue Seco I / II,3,2092,35.0,334.6080305927342
São Vicente,Jardim Novo Samaritá (Fazendinha),11,4468,34.0,152.1933751119069
Guarujá,Vila Rã/Sossego/Areião,11,6161,33.0,107.12546664502516
Guarujá,Vila Edna,6,2805,33.0,235.2941176470588
Guarujá,Santa Clara,4,2923,31.0,212.1108450222374
Guarujá,Jardim Bela Vista / Morro do Macaco Molhado,6,1877,30.0,319.65903036760784
Guarujá,Morro da Cachoeira,2,1437,29.0,403.6186499652053
Praia Grande,Jardim Esperança,4,1322,26.0,393.34341906202724
Santos,Caneleira III / Bela Vista,6,2343,25.0,213.4016218523261
Guarujá,Vila da Noite,5,2427,23.0,189.5344046147507
Guarujá,Vila Baiana,8,4254,22.0,103.43206393982135
Guarujá,Jardim Primavera,7,3625,22.0,121.37931034482759
São Vicente,Sá Catarina de Moraes,4,3093,20.0,129.32428063368897
Guarujá,Morro do Engenho,3,1718,20.0,232.8288707799767
Guarujá,Morro da Vila Júlia,1,701,20.0,570.6134094151213
Santos,Morro José Menino,3,2795,20.0,143.11270125223612
Praia Grande,Santa Marina,6,2039,18.0,176.5571358509073
Cubatão,Pinhal do Miranda,9,2975,17.0,114.28571428571429
São Vicente,Batuíra,2,1094,17.0,310.7861060329068
São Vicente,Vila Ponte Nova,8,5099,17.0,66.67974112571092
Praia Grande,Balneário Maxland,3,1100,16.0,290.9090909090909
Guarujá,Canta Galo,6,3734,16.0,85.69898232458489
Bertioga,Jardim Ana Paula,3,1499,15.0,200.13342228152104
Guarujá,Morrinhos III,9,7693,13.0,33.79695827375536
São Vicente,Quarentenário Particular,7,4653,13.0,55.87792821835375
Guarujá,Favela do Caixão,3,1585,13.0,164.0378548895899
São Vicente,Sambaiatuba,6,4230,13.0,61.46572104018912
Praia Grande,Nova Mirim,7,2816,13.0,92.32954545454545
Santos,Jabaquara,3,1299,12.0,184.75750577367205
Guarujá,Barreira do João Guarda,5,2290,11.0,96.06986899563319
Cubatão,Pilões,3,1370,11.0,160.5839416058394
Guarujá,Santa Rosa,3,2190,10.0,91.32420091324201
Praia Grande,Jardim Marília,2,660,9.0,272.72727272727275
Praia Grande,Sítio Tubaiaru,8,3916,9.0,45.96527068437181
Praia Grande,Ribeirópolis,3,1307,8.0,122.4177505738332
Guarujá,Vila Áurea / Deus me Deu,2,383,8.0,417.75456919060053
Bertioga,Núcleo Vicente de Carvalho,1,335,8.0,477.6119402985075
Cubatão,Cota 200,5,1793,8.0,89.23591745677636
Guarujá,Vila Nova Morrinhos,7,3019,8.0,52.997681351440875
Cubatão,Água Fria,5,1037,7.0,135.00482160077144
Cubatão,Costa Muniz,2,1000,7.0,140.0
Santos,Caruara,3,2466,7.0,56.77210056772101
Peruíbe,Vila Caixote,1,277,7.0,505.4151624548736
Santos,Vila Israel / Vale Verde / Fazendinha,1,528,7.0,265.1515151515152
Guarujá,Vila Selma,1,481,7.0,291.0602910602911
Santos,Lomba da Penha,5,2991,7.0,46.80708793045804
Guarujá,Vila Ligia,1,394,7.0,355.3299492385787
Santos,Pantanal de Cima - Morro Santa Maria,2,1441,7.0,97.15475364330327
Bertioga,Núcleo Chácaras - Embargo I,3,1633,6.0,73.48438456827924
Guarujá,Morrinhos IV,4,2892,6.0,41.49377593360996
Santos,Jardim São Manoel,1,744,6.0,161.29032258064515
São Vicente,Comeca,1,230,6.0,521.7391304347826
Santos,Vila dos Criadores,2,1781,6.0,67.3778775968557
Bertioga,Núcleo Área Planning,1,830,6.0,144.57831325301206
São Vicente,Dique do Fátima,4,990,5.0,101.01010101010101
Bertioga,Chácaras Consolidado,4,2865,5.0,34.904013961605585
Guarujá,Nova República II,1,355,5.0,281.69014084507046
