NM_MUN,NM_BAIRRO,n_setores,pop,casos,taxa
São Vicente,Vila Margarida,14,7565,181.0,478.5194976867151
Guarujá,Cachoeira,6,3157,91.0,576.4966740576497
Santos,Saboó,4,1797,90.0,1001.669449081803
Guarujá,Porto de Guarujá,5,2748,69.0,502.1834061135371
Santos,Chico de Paula,5,2104,66.0,627.3764258555133
Santos,Rádio Clube,5,2007,64.0,637.767812655705
Guarujá,Enseada,7,2159,61.0,565.0764242704956
Guarujá,Pae Cará,5,2140,48.0,448.5981308411215
Santos,Vila Nova,5,1906,42.0,440.713536201469
São Vicente,Samarita,2,1020,38.0,745.0980392156863
Santos,Estuário,2,1478,37.0,500.6765899864682
Guarujá,Santo Antônio,2,1393,36.0,516.8700646087581
Cubatão,Vila Esperança,2,769,36.0,936.2808842652795
Santos,Morro São Bento,2,1048,35.0,667.9389312977099
Cubatão,Vila dos Pescadores,2,1707,33.0,386.6432337434095
Guarujá,Vila Zilda,4,1072,32.0,597.0149253731344
Praia Grande,Esmeralda,2,1705,32.0,375.366568914956
São Vicente,Jardim Irmã Dolores,3,1777,30.0,337.64772087788407
São Vicente,Parque Bitaru,3,1779,30.0,337.2681281618887
Bertioga,Centro,4,1162,29.0,499.13941480206546
Guarujá,Mar e Céu,3,1491,27.0,362.1730382293763
Santos,Castelo,2,859,27.0,628.6379511059371
Praia Grande,Santa Marina,4,1218,24.0,394.0886699507389
São Vicente,Humaitá,2,1288,23.0,357.1428571428571
Guarujá,Itapema,3,1336,23.0,344.311377245509
Praia Grande,Vila Sônia,2,1200,23.0,383.3333333333333
São Vicente,Centro,3,761,22.0,578.1865965834429
Guarujá,Boa Esperança,1,750,21.0,560.0
Santos,Marapé,3,1193,21.0,352.0536462699078
Guarujá,Perequê,1,1307,21.0,321.3465952563122
Santos,Aparecida,3,729,20.0,548.6968449931412
Praia Grande,Antártica,3,1045,20.0,382.7751196172249
São Vicente,Jardim Rio Branco,2,1120,19.0,339.2857142857143
Guarujá,Pitangueiras,2,241,19.0,1576.7634854771784
Praia Grande,Ribeirópolis,3,1170,19.0,324.78632478632477
Santos,Paquetá,1,419,18.0,859.1885441527447
Cubatão,Vila Nova,3,981,18.0,366.9724770642202
Praia Grande,Anhanguera,2,944,17.0,360.1694915254237
Praia Grande,Nova Mirim,2,733,17.0,463.8472032742156
São Vicente,Jóckey Club,1,673,17.0,505.20059435364044
Cubatão,Itutinga-Pilões,3,641,16.0,499.21996879875195
Guarujá,Vila Ligya,2,900,16.0,355.5555555555556
Santos,Centro,2,295,15.0,1016.9491525423728
Santos,Morro Caneleira,1,528,15.0,568.1818181818182
Mongaguá,Vila Atlântica,2,654,15.0,458.7155963302753
Santos,Morro Nova Cintra,2,747,14.0,374.8326639892905
Guarujá,Pernambuco,1,122,14.0,2295.0819672131147
Mongaguá,Agenor de Campos,1,700,14.0,400.0
Santos,Encruzilhada,2,498,13.0,522.0883534136547
Santos,Macuco,1,394,12.0,609.1370558375635
Guarujá,Península,1,150,11.0,1466.6666666666667
São Vicente,Itararé,1,392,11.0,561.2244897959183
Praia Grande,Boqueirão,2,433,11.0,508.08314087759817
