NM_MUN,fcu,n_setores,pop,casos,taxa,cum_pct
São Paulo,Paraisópolis,74,58438,280.0,95.82805708614258,3.3714629741119806
São Paulo,Heliópolis,98,55503,147.0,52.970109723798714,5.141481035520771
Mauá,Chafik / Macuco,40,26835,88.0,65.58598844792249,6.201083684527394
Mauá,Jardim Oratório,40,25946,74.0,57.04154783010869,7.092113184828416
São Paulo,Recanto do Paraiso / Recanto Dos Humildes I / Cptm Recanto,34,16553,67.0,80.9520932761433,7.898856110776641
São Paulo,Safira,25,15485,65.0,83.95221181788828,8.68151715833835
São Paulo,Jardim Felicidade / Jova Rura,24,16739,65.0,77.66294282812594,9.46417820590006
São Bernardo do Campo,Vila São Pedro,46,28466,61.0,42.85814656080939,10.198675496688741
São Paulo,Jardim Iporanga / Esmeralda,11,6930,60.0,173.16017316017317,10.921131848284165
São Paulo,Jardim Nova Harmonia,37,20513,55.0,53.62453078535563,11.583383503913305
São Paulo,Cantinho do Céu / Parque Eucalipto,41,17868,52.0,58.20461159614954,12.209512341962673
São Paulo,Campo dos Ferreiras I,12,7162,45.0,125.66322256352974,12.751354605659241
São Paulo,Jardim Jaqueline,11,9319,43.0,92.2845798905462,13.269114990969296
São Paulo,Vila Jacuí AB,28,18217,43.0,47.208651259812264,13.786875376279351
São Paulo,Santa Terezinha,29,12224,38.0,62.17277486910994,14.24443106562312
São Paulo,Castro Alves,15,4527,38.0,167.8815992931301,14.701986754966887
São Paulo,Sinhá,13,6182,36.0,116.46716273050794,15.135460565924141
São Paulo,Parque Santa Madalena I,14,5497,36.0,130.9805348371839,15.568934376881396
São Paulo,Jardim Vitória / Jardim Três Poderes,15,7752,36.0,92.87925696594426,16.00240818783865
São Paulo,Vila São Joaquim / São Luiz / Santa Terezinha,12,6624,35.0,105.67632850241544,16.423841059602648
São Paulo,Canto da Noite / Mar Desconhecido,12,5111,34.0,133.04637057327335,16.83323299217339
São Paulo,Guaicuri II / Pedra Sobre Pedra,18,7276,34.0,93.45794392523365,17.242624924744128
Guarulhos,Vital Brasil,12,8913,34.0,76.2930550880736,17.65201685731487
São Paulo,Jardim Jangadeiro,7,3420,34.0,198.83040935672514,18.06140878988561
São Paulo,Nossa Senhora Aparecida,14,7430,34.0,91.52086137281292,18.470800722456353
São Paulo,Eucalíptos,4,2851,32.0,224.48263767099263,18.856110776640577
São Bernardo do Campo,Vila Boa Vista/Santana,8,5771,32.0,110.89932420724311,19.241420830824804
São Paulo,Hugo Ítalo Merigo,4,1480,31.0,418.9189189189189,19.614689945815776
São Paulo,Nova Jaguaré,15,8444,30.0,71.05637138796779,19.975918121613486
São Paulo,Cidade Ipava,14,8625,30.0,69.56521739130436,20.3371462974112
São Paulo,Paranapanema III,8,3970,30.0,151.13350125944584,20.69837447320891
São Paulo,Guaicuri I,12,4224,29.0,137.31060606060606,21.047561709813365
São Paulo,Keralux,18,8403,29.0,69.02296798762347,21.39674894641782
São Paulo,Caixa D'água,10,6454,29.0,89.86674930275798,21.745936183022277
São Paulo,Lourdes / Núcleo Itaim,8,4775,29.0,121.46596858638742,22.09512341962673
Santo André,Complexo CDHU,25,12356,29.0,46.94075752670767,22.44431065623119
São Paulo,Jardim Aracati / Chácara Florida,4,3348,28.0,167.26403823178018,22.781456953642383
São Paulo,Parque das Flores / Jardim Continental / COHAB,24,12309,27.0,43.870338776504994,23.106562311860326
São Paulo,Jardim Filhos da Terra,9,4397,27.0,122.81100750511712,23.431667670078266
Santo André,Tamarutaca,7,5373,27.0,100.50251256281408,23.75677302829621
São Paulo,Vila Dalva,5,2176,27.0,248.16176470588235,24.08187838651415
São Paulo,São José Barroca,4,1961,27.0,275.3697093319735,24.406983744732088
Santo André,Pintassilgo,8,4606,27.0,117.23838471558835,24.73208910295003
São Paulo,Conjunto Promorar Sapopemba,7,5535,27.0,97.5609756097561,25.05719446116797
São Paulo,Jardim Elba,5,2526,26.0,205.85906571654792,25.370258880192655
São Paulo,Nova Tiete,7,3492,26.0,148.91179839633446,25.683323299217335
São Paulo,Boqueirão,7,4230,26.0,122.93144208037825,25.996387718242026
São Paulo,Jardim Eliane,10,4582,25.0,109.12265386294196,26.29741119807345
São Paulo,Jardim Fim de Semana,15,6771,25.0,73.8443361394181,26.598434677904876
Osasco,Padroeira - Y,8,3359,24.0,142.8996725215838,26.887417218543046
Guarulhos,Vila União/Parque Primavera I,14,7111,24.0,67.50105470397975,27.176399759181212
São Paulo,Letícia Cini,4,2431,24.0,197.44960921431507,27.465382299819385
São Paulo,Cantinho do Céu I,9,5403,23.0,85.13788635942994,27.7423239012643
São Paulo,Jardim Colombo,15,11911,23.0,38.61976324406011,28.01926550270921
São Paulo,Complexo Célia Irene Etelvina / Baltazar Barroso,7,3524,23.0,130.53348467650397,28.296207104154124
Guarulhos,Anita Garibaldi/Portelinha,9,8588,23.0,53.5631113181183,28.57314870559904
São Paulo,Avenida dos Funcionários Públicos,1,136,23.0,3382.3529411764703,28.850090307043953
São Paulo,Santa Casa - Área remanescente,5,4109,21.0,102.21465076660989,29.10295003010235
São Paulo,Avenida Belmira Marin,11,4987,21.0,84.2189693202326,29.355809753160745
São Paulo,São Saverio,4,2029,21.0,206.9985214391326,29.608669476219145
São Paulo,Miguel Inácio Curi I / Favela da Paz,4,1543,21.0,272.1970187945561,29.86152919927754
São Bernardo do Campo,Montanhão,9,4841,21.0,86.75893410452386,30.114388922335944
São Paulo,Eldorado,10,6060,21.0,69.3069306930693,30.36724864539434
São Paulo,Cocaia I,7,2537,20.0,157.66653527788725,30.608067429259485
Guarulhos,Vila São Rafael / Jardim Vila Galvão II,2,1959,20.0,204.1858090862685,30.848886213124622
Diadema,Dom João VI,2,1471,20.0,271.9238613188307,31.089704996989763
São Paulo,Colonial,6,3955,19.0,96.08091024020227,31.31848284166165
São Paulo,Joaquim Meira Siqueira,7,4709,19.0,80.69653854321513,31.547260686333534
São Paulo,Mendes Gaia,6,3960,19.0,95.95959595959596,31.77603853100542
São Paulo,Jardim Comercial I,9,4843,19.0,78.4637621309106,32.0048163756773
Diadema,Vila Olinda,2,1858,19.0,204.5209903121636,32.23359422034919
São Paulo,Maria Luiza Americano,5,2673,19.0,142.1623643845866,32.46237206502107
Taboão da Serra,Ponte Alta - Osvaldinho,13,6972,18.0,51.635111876075726,32.6791089704997
São Paulo,Vila Nova Cidade II - Invasão,13,5895,18.0,61.06870229007634,32.895845875978324
São Paulo,Jardim Nova Robru / Favela Pedro Rodrigues,6,2725,18.0,132.11009174311926,33.11258278145696
São Paulo,Japaranduba / Arapiraca,7,3962,18.0,90.86320040383646,33.329319686935584
São Paulo,Paranapanema IV,13,4811,18.0,74.82851797963002,33.54605659241421
São Paulo,Parque Planalto I,8,2008,18.0,179.28286852589642,33.76279349789284
São Paulo,Jardim Martini,5,2162,18.0,166.51248843663274,33.97953040337146
São Paulo,Jardim São Remo,11,7979,18.0,45.11843589422233,34.19626730885009
Carapicuíba,Vila Municipal,6,3424,18.0,105.14018691588785,34.413004214328716
São Paulo,Vaz de Lima/Santo Dias/ Jadim Lidia,8,4277,17.0,79.49497311199438,34.61770018061409
Carapicuíba,Comunidade Rifaina,4,3275,17.0,103.81679389312977,34.82239614689946
Mogi das Cruzes,Jardim Aeroporto III/Jardim Planalto,8,3572,17.0,95.18477043673013,35.02709211318483
São Paulo,Jardim Mitsutani,6,2783,17.0,122.17031979877831,35.2317880794702
São Paulo,Sítio Carioba / Sítio Cascavel,9,5433,17.0,62.58052641266335,35.43648404575557
São Paulo,Cabuçu I,3,1362,17.0,249.632892804699,35.64118001204094
São Paulo,Tijuco Preto II,6,3430,16.0,93.29446064139943,35.83383503913306
Guarulhos,Novo Recreio,13,7851,16.0,40.7591389631894,36.026490066225165
São Paulo,Veronia II,6,2415,16.0,132.50517598343686,36.21914509331728
São Paulo,Henrique Mindlin,3,1130,16.0,283.1858407079646,36.411800120409396
Guarulhos,Jardim Marilena,9,5936,16.0,53.90835579514825,36.60445514750151
São Paulo,Nelson Cruz,2,1522,15.0,197.10906701708277,36.785069235400364
São Paulo,Jardim Selma II,8,4238,15.0,70.78810759792356,36.96568332329922
São Paulo,Jardim Vera Cruz,4,2240,15.0,133.92857142857142,37.14629741119808
Guarulhos,Núcleo Santos Dumont,10,7308,15.0,41.050903119868636,37.32691149909693
São Paulo,Sítio Eldorado IV,13,6778,15.0,44.26084390675716,37.50752558699579
Guarulhos,Parque Jandaia,5,4035,15.0,74.34944237918215,37.68813967489464
São Paulo,Nova Floresta,7,3348,15.0,89.60573476702508,37.8687537627935
São Paulo,Jardim Nazareth,6,2569,15.0,116.77695601401324,38.049367850692356
Carapicuíba,Campo do Bahia,7,3118,15.0,96.21552277100706,38.22998193859121
São Paulo,Vila do Sapo II,6,1465,15.0,204.77815699658703,38.41059602649007
São Paulo,Chácara Santa Maria,9,5475,15.0,54.794520547945204,38.59121011438892
São Paulo,Jardim São Carlos / Gleba 2,3,1335,15.0,224.71910112359552,38.77182420228778
Franco da Rocha,Pretória,12,5449,15.0,55.05597357313268,38.952438290186635
São Paulo,Nova Grajaú I e II,13,4147,14.0,67.51868820834338,39.12101143889223
São Paulo,Piratininga,8,5201,14.0,53.835800807537005,39.28958458759783
São Paulo,Jardim Eucaliptos,4,1897,14.0,147.60147601476015,39.458157736303434
São Paulo,Jardim Icaraí II e III,8,2587,14.0,108.23347506764593,39.62673088500903
Mauá,Estrada do Carneiro,8,3386,14.0,82.69344359125812,39.79530403371463
São Paulo,Jardim Paraná / Bananal Esquerdo,9,3978,14.0,70.38712921065863,39.96387718242023
São Bernardo do Campo,Rua Amazonas/Saracantan,5,3357,14.0,83.40780458742925,40.13245033112583
São Paulo,Vila Nova Esperança (Jardim Paulistano),3,1947,14.0,143.81099126861838,40.30102347983143
Diadema,Gazuza / Pau do Café / Fundibem,11,5601,14.0,49.99107302267452,40.469596628537026
São Paulo,Jardim São Raimundo / Dom Angélico,4,2243,14.0,124.83281319661168,40.63816977724263
São Paulo,Jardim Peri Novo,2,1321,14.0,211.96063588190765,40.80674292594823
São Paulo,Agenor Alves Meira / Carlos Shumacker,2,1079,14.0,259.49953660797036,40.975316074653826
São Paulo,Elísio Teixeira Leite,7,2329,14.0,120.223271790468,41.14388922335942
São Paulo,Violão I,1,128,14.0,2187.5,41.31246237206502
São Paulo,Tiquatira,9,3125,14.0,89.6,41.48103552077062
São Bernardo do Campo,Jardim Calux,14,8242,14.0,33.97233681145353,41.649608669476216
São Paulo,Palácio Monroe,5,2158,14.0,129.74976830398518,41.81818181818181
Guarulhos,Sítio São Francisco,17,7851,13.0,33.11680040759139,41.97471402769416
São Paulo,Jardim Planalto I II e III,11,4663,13.0,55.75809564657946,42.131246237206504
São Paulo,Fazenda da Juta / Fazenda da Juta IV,5,3387,13.0,76.76409802184824,42.287778446718846
São Paulo,Parque Parada de Taipas / Sítio Pedro Velho,14,4994,13.0,52.06247496996395,42.44431065623119
São Paulo,Jardim Primeiro de Maio,6,3142,13.0,82.74984086569064,42.60084286574353
São Paulo,Vila Xavantes,3,991,13.0,262.36125126135215,42.75737507525587
São Paulo,Souza Dantas,5,1749,13.0,148.65637507146943,42.91390728476821
São Paulo,Vila São João,2,867,13.0,299.88465974625143,43.070439494280556
Suzano,Jardim Revista,5,2327,13.0,111.73184357541899,43.22697170379289
São Bernardo do Campo,Represa Alvarenga - Poney Club,6,2863,13.0,90.8138316451275,43.38350391330524
São Paulo,Parque Brasilandia,8,4262,13.0,61.00422336931018,43.54003612281758
São Paulo,Jardim São Vicente II,1,396,13.0,656.5656565656566,43.696568332329925
São Paulo,Recanto das Estrelas,4,2056,13.0,126.4591439688716,43.85310054184227
São Paulo,Santo Elias,3,2995,13.0,86.81135225375625,44.0096327513546
São Bernardo do Campo,Vila Esperança,8,5501,13.0,47.26413379385566,44.16616496086695
São Paulo,Jardim Campo de Fora / Santo Antônio,7,2996,13.0,86.78237650200268,44.322697170379286
São Paulo,Cidade Nova,4,2940,13.0,88.43537414965986,44.479229379891635
São Paulo,Carombé de Baixo,2,1126,13.0,230.90586145648314,44.63576158940397
São Paulo,Jardim Paulistano,8,4110,13.0,63.2603406326034,44.79229379891632
São Paulo,Nova Nardini,9,4083,12.0,58.78030859662013,44.936785069235405
São Paulo,Vila Flávia,7,2693,12.0,89.11994058670628,45.081276339554485
São Paulo,Mirangoaba I,1,1335,12.0,179.77528089887642,45.22576760987357
São Paulo,Vila Roseira,6,4327,12.0,55.46568061012249,45.37025888019265
Diadema,Santo Ivo,3,1450,12.0,165.51724137931035,45.51475015051174
Guarulhos,Vila Flórida,2,1051,12.0,228.3539486203616,45.659241420830824
São Paulo,Jardim Maggi,1,741,12.0,323.88663967611336,45.80373269114991
São Paulo,Romulo Nald,6,3933,12.0,61.02212051868803,45.94822396146899
São Paulo,Jardim Campos I,4,1505,12.0,159.468438538206,46.09271523178808
São Paulo,Vergueirinho / Nova Divinéia,3,2435,12.0,98.56262833675565,46.23720650210716
São Paulo,Jardim Itapurá I,6,2743,12.0,87.49544294567991,46.38169777242625
São Paulo,Sucupira,2,1629,12.0,147.32965009208104,46.52618904274534
São Paulo,Sítio Arizona / Jd. Vila do Sol,6,3401,12.0,70.56748015289621,46.670680313064416
São Paulo,Parque Santa Madalena II,5,2256,12.0,106.38297872340426,46.8151715833835
São Paulo,Jardim Copacabana,5,2976,12.0,80.64516129032258,46.95966285370259
Taboão da Serra,Jardim Freitas Júnior - Jardim Trianon HBB,4,1967,12.0,122.01321809862736,47.104154124021676
São Paulo,Jardim Bandeirante,8,2926,12.0,82.02323991797677,47.24864539434076
São Paulo,Cemitério do Horto,2,875,12.0,274.2857142857143,47.39313666465985
São Paulo,Sítio Paiolzinho / J. Vista Alegre,13,3520,12.0,68.18181818181819,47.53762793497893
São Paulo,Bananal Direito,1,359,12.0,668.5236768802229,47.682119205298015
São Paulo,Jardim Walquíria I,8,4221,12.0,56.85856432125089,47.8266104756171
Guarulhos,Sítio dos Morros,6,3608,12.0,66.51884700665188,47.97110174593618
São Paulo,Brás de Abreu,5,2857,12.0,84.0042002100105,48.11559301625527
São Paulo,Bueru,3,1165,12.0,206.00858369098714,48.26008428657435
São Paulo,"Jardim Noronha I, II e III",9,3057,12.0,78.50834151128558,48.404575556893434
Carapicuíba,Comunidade CSU,3,2187,12.0,109.73936899862827,48.54906682721252
Guarulhos,Mato das Cobras,9,6346,12.0,37.81909864481563,48.69355809753161
São Bernardo do Campo,DER-I,11,5633,12.0,42.60607136516954,48.838049367850694
São Paulo,Promorar / Oreste Damolin,4,1903,12.0,126.11665790856541,48.98254063816977
São Paulo,Vale da Esperança,8,3653,12.0,65.69942513003011,49.12703190848886
São Paulo,Favela do Pó,4,1745,12.0,137.53581661891116,49.271523178807946
Mauá,Chácara Maria Aparecida,15,9745,12.0,24.628014366341713,49.41601444912703
São Paulo,Jardim São Vicente,4,1770,12.0,135.59322033898306,49.56050571944612
São Paulo,Abel Marciano / Maria Quedas,1,485,11.0,453.6082474226804,49.692956050571944
Guarulhos,Jardim Vila Galvão I,6,3751,11.0,58.651026392961874,49.825406381697775
Taboão da Serra,Meyer Saporito,9,2975,11.0,73.94957983193277,49.9578567128236
São Paulo,Parque Dorotéia I e II,13,4598,11.0,47.84688995215311,50.09030704394944
São Paulo,Jardim Jaragua,3,1654,11.0,133.01088270858526,50.222757375075254
Taboão da Serra,Jardim Margaridas,5,2429,11.0,90.57225195553725,50.355207706201085
São Paulo,Jardim São Bento Velho,4,1794,11.0,122.63099219620959,50.48765803732691
São Paulo,Paraguai/Jardim Marilda,17,4348,11.0,50.59797608095676,50.62010836845274
