NM_MUN,bairro,n_setores,pop,casos,taxa,cum_casos_pct,cum_pop_pct
Guarulhos,Pimentas,313,167705,325.0,38.75853433111714,0.7421616313854444,0.8166414190613422
São Bernardo do Campo,Montanhão,173,98992,203.0,41.01341522547276,1.2057272042200453,1.2986840973101745
Mauá,RP8 (Regiões de Planejamento),124,69810,180.0,51.56854318865492,1.6167705692950607,1.638624692192094
Guarulhos,Bonsucesso,168,100497,172.0,34.22987750878136,2.009545340366742,2.127995985185193
Guarulhos,Cumbíca,151,86422,162.0,37.49045381962926,2.3794843689342557,2.548828904407156
Guarulhos,Taboão,126,75539,161.0,42.626987384000316,2.747139823251353,2.9166669304318704
Barueri,Silveira,84,57223,145.0,50.67892281075792,3.078258089561782,3.1953149845921356
Mauá,RP7 (Regiões de Planejamento),111,62282,133.0,42.70896888346553,3.38197346486721,3.498597897218345
Diadema,Taboão,82,45612,118.0,51.74076997281418,3.651435226416387,3.7207060538399483
Guarulhos,São João,109,70669,116.0,32.82910469937313,3.91632983946473,4.064829559064276
Diadema,Eldorado,80,42413,113.0,53.2855492419777,4.1743737297618235,4.2713601485317865
São Bernardo do Campo,Dos Alvarenga,119,71864,110.0,30.61338083045753,4.425566897307666,4.621302719948407
Guarulhos,Cabuçu,118,77805,110.0,28.275817749501957,4.676760064853509,5.0001750589369145
Barueri,Mutinga,39,31827,100.0,62.83972727558362,4.905117489895184,5.155157000110197
Diadema,Casa Grande,68,37113,96.0,51.733893783849325,5.124340617935192,5.335879178850387
São Bernardo do Campo,Baeta Neves,98,47899,91.0,37.996617883463124,5.332145874723117,5.569123908176402
Osasco,Munhoz Júnior,57,28860,90.0,62.37006237006237,5.537667557260624,5.709658008853843
Osasco,Jardim Conceição,70,40738,84.0,41.23913790564092,5.729487794295632,5.908032166629228
Barueri,Votupoca,61,46467,84.0,36.15469042546323,5.921308031330639,6.134303755547409
Guarulhos,Vila Rio,88,49503,83.0,33.53332121285579,6.1108446941152295,6.37535918125203
Guarulhos,Itaím,49,28866,82.0,56.81424513268205,6.298097782649403,6.515922498998219
Guarulhos,Presidente Dutra,82,43985,81.0,36.8307377515062,6.483067296933159,6.730107960477681
Diadema,Centro,100,53521,81.0,30.26849274116702,6.668036811216917,6.990729083220487
Guarulhos,Bananal,63,41040,80.0,38.98635477582846,6.850722751250257,7.190573833456184
Osasco,Padroeira,49,24345,77.0,63.257342370096524,7.026557968532347,7.309122089900823
Diadema,Conceição,89,44767,71.0,31.719793597962788,7.188691740311937,7.527115509340429
Osasco,São Pedro,49,27097,71.0,52.404325202051886,7.350825512091526,7.659064661317444
Mauá,RP10 (Regiões de Planejamento),95,50033,70.0,27.98153218875542,7.510675709620698,7.902700928094797
São Bernardo do Campo,Ferrazópolis,87,42920,70.0,32.618825722274,7.67052590714987,8.111700359871506
Guarulhos,Picanço,113,52780,70.0,26.52519893899204,7.830376104679043,8.368713174623943
Guarulhos,Morros,66,40888,70.0,34.23987477988652,7.990226302208216,8.567817759118027
São Bernardo do Campo,Dos Casa,79,41369,69.0,33.35831177935169,8.147792925486973,8.7692645786234
Diadema,Canhema,56,28491,69.0,48.43634832052227,8.305359548765729,8.908001829572845
Osasco,Veloso,53,29441,66.0,44.83543357902245,8.456075449293234,9.051365116407375
Osasco,Bandeiras,43,24110,66.0,54.74906677727084,8.606791349820739,9.16876903765939
Diadema,Campanário,55,29334,65.0,44.317174609667966,8.75522367609783,9.311611286767915
Diadema,Serraria,56,29414,65.0,44.1966410552798,8.903656002374918,9.45484309679308
São Bernardo do Campo,Centro,186,77204,64.0,16.579451841873478,9.04980475440159,9.830788859395339
Osasco,Santa Maria,44,29028,62.0,42.71737632630564,9.191386357927428,9.972141037997723
Mauá,RP12 (Regiões de Planejamento),64,35958,61.0,33.92847210634629,9.33068438720285,10.14723893100394
Osasco,Rochdale,52,25259,55.0,43.54883407894216,9.45628097097577,10.27023792092118
Mauá,RP9 (Regiões de Planejamento),77,34904,54.0,30.94201237680495,9.579593980498275,10.44020334885068
Guarulhos,Jardim Vila Galvão,29,15804,51.0,64.54062262718298,9.69605626726953,10.517161107932672
Santo André,Jardim Santo André CDHU,58,26687,49.0,36.72199947540001,9.807951405539951,10.647113760211914
Osasco,Jardim Roberto,41,20620,49.0,47.526673132880696,9.919846543810372,10.74752308647556
Mauá,RP11 (Regiões de Planejamento),61,33268,47.0,28.255380545869905,10.02717453357996,10.909521993659798
Barueri,Belval,39,30011,47.0,31.321848655492985,10.134502523349546,11.055660902025382
Diadema,Vila Nogueira,55,30685,47.0,30.633860192276355,10.241830513119133,11.205081861113644
Osasco,Piratininga,27,14044,47.0,66.93249786385645,10.34915850288872,11.273469280029582
Osasco,Aliança,35,16236,47.0,57.8960335057896,10.456486492658309,11.352530668061425
Diadema,Piraporinha,56,29727,47.0,31.621085208732804,10.563814482427897,11.497286635172939
Guarulhos,Vila Galvão,75,32853,45.0,27.39475846954616,10.66657532369665,11.657264695102114
Barueri,Engenho Novo,35,25172,45.0,35.7540123947243,10.769336164965404,11.779840037522508
São Bernardo do Campo,Batistini,62,29905,45.0,30.095301788998498,10.872097006234158,11.925462777673543
São Bernardo do Campo,Cooperativa,56,29963,44.0,29.36955578546874,10.972574273252494,12.071367949489142
Osasco,Ayrosa,41,21681,44.0,40.58853373921867,11.073051540270832,12.17694382740971
Osasco,Bela Vista,25,11248,43.0,76.45803698435277,11.171245233038753,12.231716092289124
Santo André,Miami / Riviera,24,11647,42.0,72.12157637159784,11.267155351556255,12.288431292240274
Barueri,Califórnia,32,20542,42.0,40.89183136987635,11.363065470073758,12.388460796610197
Osasco,Vila Menck,43,22164,42.0,37.89929615592853,11.458975588591263,12.496388648564972
