NM_MUN,bairro,n_setores,pop,casos,taxa,cum_pct_casos
Guarulhos,Pimentas,13,6278,60.0,191.14367633004142,0.47285050043344623
São Bernardo do Campo,Montanhão,7,4285,51.0,238.03967327887983,0.8747734258018756
Osasco,Munhoz Júnior,5,3053,38.0,248.93547330494596,1.174245409409725
Guarulhos,Cumbíca,9,3674,37.0,201.4153511159499,1.4658365513436835
Diadema,Eldorado,7,3201,36.0,224.92970946579194,1.7495468516037511
Osasco,Padroeira,6,2736,35.0,255.84795321637426,2.025376310189928
Barueri,Silveira,5,2982,34.0,228.0348759221999,2.2933249271022147
Guarulhos,Jardim Vila Galvão,5,2749,33.0,240.0873044743543,2.55339270234061
Diadema,Canhema,4,2137,32.0,299.4852597098736,2.8055796359051146
Diadema,Taboão,4,2305,31.0,268.98047722342733,3.0498857277957288
Guarulhos,Vila Rio,5,2705,28.0,207.02402957486137,3.27054929466467
Mauá,RP8 (Regiões de Planejamento),5,2351,27.0,229.68949383241176,3.483332019859721
Osasco,Piratininga,3,1548,27.0,348.83720930232556,3.6961147450547718
São Bernardo do Campo,Baeta Neves,5,2443,25.0,204.6663937781416,3.8931357869020413
Diadema,Casa Grande,6,2388,25.0,209.38023450586263,4.09015682874931
Santo André,Miami / Riviera,3,2143,25.0,233.31777881474568,4.2871778705965795
Osasco,Bela Vista,1,278,25.0,1798.5611510791366,4.4841989124438495
Osasco,São Pedro,4,2519,24.0,190.55180627233028,4.673339112617227
Osasco,Vila Menck,5,2285,20.0,175.054704595186,4.8309559460950435
São Bernardo do Campo,Ferrazópolis,4,1619,17.0,210.00617665225448,4.964930254551185
Osasco,Santa Maria,3,1317,17.0,258.16249050873193,5.098904563007329
Guarulhos,Taboão,3,1477,16.0,216.6553825321598,5.224998029789582
Diadema,Inamar,3,1104,15.0,271.7391304347826,5.343210654897943
Barueri,Votupoca,3,1203,14.0,232.75145469659185,5.4535424383324145
Guarulhos,Morros,3,1685,14.0,166.1721068249258,5.563874221766884
Guarulhos,Bananal,3,1325,13.0,196.22641509433961,5.666325163527465
Mauá,RP9 (Regiões de Planejamento),3,1289,13.0,201.7067494181536,5.768776105288045
Guarulhos,Vila Galvão,3,1235,12.0,194.33198380566802,5.863346205374734
São Bernardo do Campo,Cooperativa,2,1438,12.0,166.89847009735743,5.957916305461423
Guarulhos,Lavras,2,1015,12.0,236.45320197044333,6.0524864055481125
Osasco,Aliança,3,1191,12.0,201.51133501259446,6.1470565056348025
São Bernardo do Campo,Santa Terezinha,2,1266,12.0,189.5734597156398,6.241626605721491
Guarulhos,Bonsucesso,3,1333,12.0,180.0450112528132,6.336196705808181
Diadema,Centro,4,1286,12.0,186.6251944012442,6.430766805894869
Guarulhos,Bom Clima,2,1051,12.0,228.3539486203616,6.5253369059815585
Mauá,RP13 (Regiões de Planejamento),2,666,11.0,330.3303303303303,6.612026164394358
Osasco,Bandeiras,2,605,11.0,363.6363636363636,6.6987154228071555
Santo André,Jardim Santo André CDHU,4,1001,11.0,219.78021978021977,6.785404681219955
São Bernardo do Campo,Centro,2,758,10.0,263.8522427440633,6.864213097958862
São Bernardo do Campo,Dos Alvarenga,3,784,10.0,255.1020408163265,6.94302151469777
Osasco,Bonfim,2,980,10.0,204.08163265306123,7.021829931436678
Guarulhos,Presidente Dutra,2,983,10.0,203.4587995930824,7.100638348175585
Guarulhos,São João,2,1210,10.0,165.2892561983471,7.179446764914493
Santo André,Vila Suíça,3,695,10.0,287.7697841726619,7.2582551816534
Mauá,RP7 (Regiões de Planejamento),2,1217,10.0,164.33853738701725,7.337063598392309
Diadema,Conceição,4,846,9.0,212.76595744680853,7.407991173457325
São Bernardo do Campo,Dos Casa,3,931,9.0,193.3404940923738,7.478918748522342
Santo André,Vila Guiomar,1,1144,9.0,157.34265734265736,7.549846323587358
Guarulhos,Invernada,2,863,9.0,208.5747392815759,7.620773898652376
Caieiras,Nova Era,1,371,9.0,485.17520215633425,7.6917014737173925
Osasco,Jardim Roberto,2,432,9.0,416.6666666666667,7.76262904878241
Osasco,Bonança,2,686,9.0,262.3906705539359,7.833556623847427
